datetime;open;high;low;close;volume
2024-09-11 13:30:00;673.78998;676.35999;673.34998;675.82501;79818
2024-09-11 13:00:00;672.71002;674.30988;672.059998;673.48999;60323
2024-09-11 12:30:00;672.125;673.85999;670.33173;672.37000;92988
2024-09-11 12:00:00;668.76099;672.64838;668.26001;671.91998;97432
2024-09-11 11:30:00;665.56000;670.75;664.81000;667.25;108963
2024-09-11 11:00:00;663.14502;666.34998;662.049988;665.17999;126755
2024-09-11 10:30:00;665;665.34137;660.83002;663.28998;138339
2024-09-11 10:00:00;670.40601;671.52002;665.070007;665.070007;129265
2024-09-11 09:30:00;674;675.28998;668.90002;670.5;245541
2024-09-10 15:30:00;675.83002;676.64001;673.13000;673.28998;277494
2024-09-10 15:00:00;674.59998;676.23999;674.59998;676.125;67301
2024-09-10 14:30:00;675.77002;676.24988;674.62732;674.75;38134
2024-09-10 14:00:00;674.28003;677;674.28003;675.53003;62483
2024-09-10 13:30:00;672.020020;674;671.84290;673.5;48646
2024-09-10 13:00:00;671.98999;673.59998;671.40997;671.96997;46171
2024-09-10 12:30:00;669.84003;672.84857;669.84003;672.21002;42616
2024-09-10 12:00:00;666.33002;670.39001;665.80499;669.49323;97500
2024-09-10 11:30:00;672.17999;672.85999;666.53052;666.53052;80985
2024-09-10 11:00:00;671.76001;672.67999;670.54999;672.17999;76518
2024-09-10 10:30:00;675.10999;675.27002;669.45001;671.90002;114997
2024-09-10 10:00:00;676.63000;677.53497;672.70007;675.099976;132647
2024-09-10 09:30:00;676.87000;680.58990;675;676.030029;156652
2024-09-09 15:30:00;675.094971;676.16998;673.63977;675.62000;316174
2024-09-09 15:00:00;673.96997;675.35999;673.68011;675.094971;69959
2024-09-09 14:30:00;674.010010;674.87000;673.76001;674.15002;63791
2024-09-09 14:00:00;675.64050;675.97998;674.34003;674.45502;76577
2024-09-09 13:30:00;678.59998;678.90002;675.57001;676.020020;67657
2024-09-09 13:00:00;679.58002;680;678.40997;678.59998;56694
2024-09-09 12:30:00;676.53003;679.65900;676.29999;679.38000;72543
2024-09-09 12:00:00;675.67999;676.69000;674.88013;676.67999;74921
2024-09-09 11:30:00;673.21002;675.56000;672.83002;675.56000;67550
2024-09-09 11:00:00;672.25;674.71997;672.14001;673.16998;75689
2024-09-09 10:30:00;675.75;676.26001;672.40179;672.73999;102021
2024-09-09 10:00:00;679.070007;679.66998;674.31653;676.60498;184478
2024-09-09 09:30:00;674;683;672.81000;679.099976;412025
2024-09-06 15:30:00;667.34003;668.91992;664.62000;666.16998;375146
2024-09-06 15:00:00;665.5;667.79999;665.5;667.42499;167705
2024-09-06 14:30:00;665.044983;666;664.090027;665.69501;95505
2024-09-06 14:00:00;665.5;665.65002;663.65002;664.89001;137422
2024-09-06 13:30:00;663.59998;665.61499;663.50500;665.53149;73381
2024-09-06 13:00:00;663.98499;665.39917;663.32013;664.23999;84150
2024-09-06 12:30:00;664.98999;666.48993;663.29437;664.34003;89834
2024-09-06 12:00:00;663.48999;666.030029;663.090027;664.96002;99513
2024-09-06 11:30:00;664.79999;666.70001;663.20001;663.69000;131644
2024-09-06 11:00:00;666.34003;668.78998;663.15002;664.38000;197825
2024-09-06 10:30:00;665.76801;667.28998;662.34003;666.34003;259982
2024-09-06 10:00:00;671.20001;671.71503;665.69659;666.054993;292704
2024-09-06 09:30:00;681.85999;683.15179;671.20099;671.47998;303233
2024-09-05 15:30:00;683.26001;685.55988;681.89001;683.84998;262028
2024-09-05 15:00:00;684.15997;684.81000;681.40002;683.48999;100235
2024-09-05 14:30:00;684.73999;685.46997;683.81500;684.10999;68373
2024-09-05 14:00:00;684.039978;685.28870;683.56000;684.46002;69017
2024-09-05 13:30:00;680.41998;684.42999;680.15002;683.69000;69448
2024-09-05 13:00:00;682.63000;683.049927;680.21002;680.33002;49269
2024-09-05 12:30:00;681.97247;683.059998;681.080017;682.64001;86814
2024-09-05 12:00:00;676.26001;682.25;676.26001;681.67999;72674
2024-09-05 11:30:00;677.65997;679.45001;676;676.11652;95412
2024-09-05 11:00:00;681.80872;682.23999;677.061401;677.34540;97461
2024-09-05 10:30:00;684.90002;687.25562;681.20001;681.47748;97408
2024-09-05 10:00:00;682;685.98999;680.51001;685.010010;137650
2024-09-05 09:30:00;672.5;681.48499;672;680.77002;228309
